id,nombre,horasTrabajadas,sueldo
3,Brade,325,20000
11,Brandea,180,15000
14,Bronnie,60,20000
20,Bellanca,88,15000
21,Bobbye,180,15000
25,Braden,180,25000
41,Brnaba,180,30000
43,Bradney,88,25000
56,Bernardine,75,33000
67,Blanch,75,15000
138,Brynn,75,50000
148,Benton,180,12000
152,Babbie,120,15000
153,Byram,90,42000
154,Bertine,60,25000
173,Brandon,90,18000
191,Bethina,75,15000
206,Borden,88,12000
240,Billie,75,37000
242,Broddie,90,42000
243,Brigham,180,25000
265,Blair,180,50000
273,Bond,180,10000
285,Bartel,60,37000
310,Brnaba,90,37000
331,Booth,88,15000
362,Buddy,120,50000
378,Brigg,220,10000
393,Barret,60,10000
403,Bar,88,20000
408,Benson,120,20000
412,Babita,90,30000
434,Brietta,75,42000
478,Brooke,88,20000
479,Benita,90,25000
486,Bartholomew,120,33000
499,Bibbie,60,37000
512,Bird,75,18000
534,Bunnie,120,33000
557,Babbie,75,15000
564,Briney,88,12000
584,Basil,120,12000
602,Brian,180,20000
609,Bernita,325,15000
657,Boothe,75,12000
662,Byrom,180,42000
669,Beverlee,60,25000
681,Burgess,120,12000
693,Baxy,120,20000
758,Boycie,88,18000
767,Brynne,325,18000
768,Blakeley,325,18000
770,Barbey,325,20000
774,Barde,88,18000
844,Bella,88,18000
846,Brendin,120,10000
879,Barbey,325,12000
886,Bailey,88,30000
908,Brittany,180,18000
962,Burty,60,12000
968,Berenice,325,10000
980,Brana,60,10000
